Iterations,N. Birds,Run,Target function,Type,Error,Point,Time (s)
1000,100,30,Sphere,Parallel,4258.162501727289,[-22.877266  58.777893 -10.672546  10.795227  -7.036499],0.5090913772583008
1000,100,30,Sphere,Iterative,1774.061330795288,[-4.849144   6.569294  37.23973    4.5060043 17.328873 ],2.4793858528137207
1000,100,1,Rosenbrock,Parallel,0.0003249412213432654,[1.0002726  0.9994392  0.99797004 0.9967132  0.9941123 ],2.7857489585876465
1000,100,1,Rosenbrock,Iterative,0.000264648522822597,[0.9988027  0.99766123 0.9952211  0.9896625  0.9786432 ],2.3603928089141846
1000,100,2,Rosenbrock,Parallel,71062.02832618784,[ 4.1456757 -3.769188   1.8061447 -1.0884628 11.104126 ],0.47448205947875977
1000,100,2,Rosenbrock,Iterative,9073.857633309475,[ 2.8874145   1.9972353   0.15724564 -3.810831    9.954464  ],2.3648054599761963
1000,100,3,Rosenbrock,Parallel,0.19893132615184822,[0.9412663  0.89454395 0.8112808  0.6550774  0.41952187],0.4735255241394043
1000,100,3,Rosenbrock,Iterative,0.7529001416981771,[1.0730822 1.1568185 1.333023  1.7748532 3.1576488],2.3452866077423096
1000,100,4,Rosenbrock,Parallel,3.9308394375989857,[-0.9620461   0.9357341   0.8807067   0.77786684  0.6050746 ],0.4413142204284668
1000,100,4,Rosenbrock,Iterative,5.281401781061064,[1.1584901 1.3302073 1.765399  3.1164966 9.686848 ],2.3510313034057617
1000,100,5,Rosenbrock,Parallel,12.458640931214628,[-1.163564   1.3695753  1.8961313  3.601385  12.972939 ],0.44744396209716797
1000,100,5,Rosenbrock,Iterative,1.0489810701292974,[0.87680763 0.7564122  0.59109974 0.30151063 0.11062048],2.3405799865722656
1000,100,6,Rosenbrock,Parallel,14.070178788536605,[ 1.2152957  1.4634309  2.1314883  4.533636  20.560516 ],0.4526536464691162
1000,100,6,Rosenbrock,Iterative,0.0,[1. 1. 1. 1. 1.],2.3553881645202637
1000,100,7,Rosenbrock,Parallel,0.0,[1. 1. 1. 1. 1.],0.4390721321105957
1000,100,7,Rosenbrock,Iterative,0.032588439517830636,[0.9817316 0.9637894 0.9284954 0.8554996 0.7342739],2.3479933738708496
1000,100,8,Rosenbrock,Parallel,18.10835550545693,[-1.0994706  1.4092932  1.9761864  3.8545184 14.819145 ],0.43000006675720215
1000,100,8,Rosenbrock,Iterative,1.256473766775831,[0.80514586 0.6602754  0.43342903 0.21507263 0.01853427],2.311352014541626
1000,100,9,Rosenbrock,Parallel,1.0662286689896234e-06,[0.99991876 0.9999199  0.99984986 0.9996552  0.99929476],0.4537169933319092
1000,100,9,Rosenbrock,Iterative,3.659661587107621e-07,[1.0000306 1.0000722 1.0001329 1.0003115 1.0006337],2.33182692527771
1000,100,10,Rosenbrock,Parallel,0.042260482270496315,[0.9771378  0.95448023 0.90934074 0.82520443 0.6792041 ],0.4668135643005371
1000,100,10,Rosenbrock,Iterative,4.07007167023631,[-0.8946038   0.80979455  0.6597613   0.43618137  0.18950492],2.336691379547119
1000,100,11,Rosenbrock,Parallel,2.1845382151382164,[ 0.72213113  0.49758512  0.29609603  0.0977993  -0.03971672],0.4438605308532715
1000,100,11,Rosenbrock,Iterative,3.6776604505023656,[0.92515785 0.839245   0.886703   0.7570759  0.53634065],2.3255715370178223
1000,100,12,Rosenbrock,Parallel,0.002695214024811493,[1.0016592 1.0064502 1.0110425 1.0197521 1.0384935],0.4580721855163574
1000,100,12,Rosenbrock,Iterative,0.07943723907071387,[1.0308511 1.0542914 1.1069366 1.2299188 1.5123736],2.3573427200317383
1000,100,13,Rosenbrock,Parallel,0.00828720327974559,[0.99860215 0.9943139  0.98159903 0.96630645 0.93237185],0.47120118141174316
1000,100,13,Rosenbrock,Iterative,0.4532774951005756,[0.91385764 0.8583398  0.7345179  0.5285612  0.25354818],2.3327267169952393
1000,100,14,Rosenbrock,Parallel,1.437166367412403e-07,[1.0000094  1.0000147  1.0000031  0.9999798  0.99996483],0.45966553688049316
1000,100,14,Rosenbrock,Iterative,0.6154979563718754,[0.89721113 0.802158   0.6500457  0.40193462 0.14206779],2.361234426498413
1000,100,15,Rosenbrock,Parallel,4.441877039582321,[-0.2696358   0.09341318  0.01449353  0.01215045  0.00229156],0.45278120040893555
1000,100,15,Rosenbrock,Iterative,4.597446470802609,[-0.42054212  0.1894512   0.04475633  0.01214811 -0.0011193 ],2.34845232963562
1000,100,16,Rosenbrock,Parallel,3.9308402846835055,[-0.96200436  0.9355886   0.8804144   0.77732056  0.6042296 ],0.44795989990234375
1000,100,16,Rosenbrock,Iterative,3.930839630717106,[-0.9620265   0.9356912   0.88061976  0.7777431   0.60484964],2.3431332111358643
1000,100,17,Rosenbrock,Parallel,20.475346983191958,[-1.2150218  1.4738729  2.1763923  4.73009   22.393852 ],0.437633752822876
1000,100,17,Rosenbrock,Iterative,1.4836421732498106,[0.7807254  0.62261117 0.38618925 0.11580017 0.00561282],2.331127166748047
1000,100,18,Rosenbrock,Parallel,3.9308394455963067,[-0.9620524   0.9357458   0.88073474  0.77791435  0.6051507 ],0.42868494987487793
1000,100,18,Rosenbrock,Iterative,4.013278636469138,[ 0.02533802 -0.00802956  0.03146266  0.0229671  -0.00060048],2.355266571044922
1000,100,19,Rosenbrock,Parallel,0.9212188720090776,[0.8610289  0.7422552  0.56049407 0.2803211  0.07592361],0.4505631923675537
1000,100,19,Rosenbrock,Iterative,0.0,[1. 1. 1. 1. 1.],2.359255075454712
1000,100,20,Rosenbrock,Parallel,4.366599649693709,[-0.8158572   0.6667224   0.4483258   0.19559304  0.03347751],0.4513533115386963
1000,100,20,Rosenbrock,Iterative,4.7664579811403485,[-1.0521004  1.1257766  1.2439382  1.5701419  2.4540942],2.3578245639801025
