N. Birds,Iterations,Run,Target function,N Islands,Error,Time (s)
1000,100,1,Sphere,2,7.732981970320907e-07,0.19822311401367188
1000,100,1,Rosenbrock,2,3.9308393601677345,7.622717618942261
1000,100,1,Styblinski,2,4.501332284689852e-06,4.531087875366211
1000,100,1,f8,2,10930.047332763672,4.7295544147491455
1000,100,1,f2,2,1.3012904712117468e-09,4.8568806648254395
1000,100,1,f13,2,2.6510414147937746,5.3586790561676025
1000,100,1,Sphere,5,2.7561333050887815e-09,0.21068954467773438
1000,100,1,Rosenbrock,5,0.12417443730140221,0.22446227073669434
1000,100,1,Styblinski,5,8.01564311814218e-06,0.24534916877746582
1000,100,1,f8,5,11027.336009979248,0.2385730743408203
1000,100,1,f2,5,8.022296427157016e-08,0.21154427528381348
1000,100,1,f13,5,1.1504403021369087,0.27311015129089355
1000,100,1,Sphere,10,1988.8577251434326,0.21566486358642578
1000,100,1,Rosenbrock,10,1.1411741621003557e-05,0.20335769653320312
1000,100,1,Styblinski,10,7.777224539040617e-06,0.2247023582458496
1000,100,1,f8,10,10905.72348022461,0.24798035621643066
1000,100,1,f2,10,5.309482888071759e-12,0.2083897590637207
1000,100,1,f13,10,0.9873421753202319,0.24941325187683105
1000,100,1,Sphere,100,0.23453074612189084,0.20672345161437988
1000,100,1,Rosenbrock,100,0.3785521987371254,0.22309327125549316
1000,100,1,Styblinski,100,15.007064909924509,0.23703670501708984
1000,100,1,f8,100,11075.61848449707,0.24414873123168945
1000,100,1,f2,100,0.2860385836684145,0.20437145233154297
1000,100,1,f13,100,1.024740166273452,0.2598137855529785
1000,200,1,Sphere,2,5.196496288828456e-09,0.38318753242492676
1000,200,1,Rosenbrock,2,2.0054043829986767e-06,0.38489651679992676
1000,200,1,Styblinski,2,7.777224539040617e-06,0.4102749824523926
1000,200,1,f8,2,10784.925903320312,0.49147534370422363
1000,200,1,f2,2,2.741887920746836e-09,0.36707067489624023
1000,200,1,f13,2,1.1504403021369087,0.517303466796875
1000,200,1,Sphere,5,2.386508692987263,0.4042966365814209
1000,200,1,Rosenbrock,5,2.914621366381363,0.423795223236084
1000,200,1,Styblinski,5,14.136711926449777,0.43918800354003906
1000,200,1,f8,5,10830.732055664062,0.45827579498291016
1000,200,1,f2,5,1.3909322478522501e-11,0.4058876037597656
1000,200,1,f13,5,1.1504403021369087,0.5306799411773682
1000,200,1,Sphere,10,2.2751903305806565e-08,0.38567185401916504
1000,200,1,Rosenbrock,10,0.09464734152271603,0.38838839530944824
1000,200,1,Styblinski,10,2.1933620881929414,0.4301950931549072
1000,200,1,f8,10,10756.80062866211,0.4718949794769287
1000,200,1,f2,10,5.816990040829551e-14,0.3713080883026123
1000,200,1,f13,10,1.1504403021369087,0.5203981399536133
1000,200,1,Sphere,100,0.00014260815116289016,0.39626407623291016
1000,200,1,Rosenbrock,100,0.0747555229033594,0.4204385280609131
1000,200,1,Styblinski,100,0.007526369084359885,0.49006032943725586
1000,200,1,f8,100,10903.198837280273,0.4363830089569092
1000,200,1,f2,100,0.0028781752971553942,0.39101243019104004
1000,200,1,f13,100,1.1500103651487315,0.5050048828125
1000,500,1,Sphere,2,1.1625172060038682e-41,0.902585506439209
1000,500,1,Rosenbrock,2,0.19738302113747608,0.9426774978637695
1000,500,1,Styblinski,2,9.822950346460857e-07,1.0739445686340332
1000,500,1,f8,2,10868.885925292969,1.1143083572387695
1000,500,1,f2,2,1.0769916215729152e-16,0.9315903186798096
1000,500,1,f13,2,1.150314922208267,1.0976483821868896
1000,500,1,Sphere,5,0.0,1.0522949695587158
1000,500,1,Rosenbrock,5,1.1090624290009794,1.0324275493621826
1000,500,1,Styblinski,5,7.300387380837492e-06,1.1296508312225342
1000,500,1,f8,5,10873.154876708984,1.2545502185821533
1000,500,1,f2,5,3.8571854567494204e-18,0.9794015884399414
1000,500,1,f13,5,1.1504399922970776,1.1946446895599365
1000,500,1,Sphere,10,0.0,0.9837360382080078
1000,500,1,Rosenbrock,10,1.09878545913302,0.9372091293334961
1000,500,1,Styblinski,10,0.0014127206697480688,1.1020455360412598
1000,500,1,f8,10,11067.698127746582,1.1809718608856201
1000,500,1,f2,10,2.8872064145897573e-20,0.9170358180999756
1000,500,1,f13,10,1.1504403021369087,1.3954594135284424
1000,500,1,Sphere,100,4.549416748877988e-08,0.9924256801605225
1000,500,1,Rosenbrock,100,1.4141380294520687,1.0123209953308105
1000,500,1,Styblinski,100,0.23727592944050002,1.163893699645996
1000,500,1,f8,100,10826.490417480469,1.1573340892791748
1000,500,1,f2,100,0.0008283479146484751,0.9579172134399414
1000,500,1,f13,100,1.143417376711661,1.2159066200256348
5000,100,1,Sphere,2,3.0891463810503004e-11,0.9844458103179932
5000,100,1,Rosenbrock,2,2.5299758093479,1.0123732089996338
5000,100,1,Styblinski,2,7.5388059599390544e-06,1.175736665725708
5000,100,1,f8,2,10594.730010986328,1.19588303565979
5000,100,1,f2,2,1.1670603893010334e-10,0.9798433780670166
5000,100,1,f13,2,1.1504403021369087,1.250640869140625
5000,100,1,Sphere,5,2.5630446121027717e-07,1.0476646423339844
5000,100,1,Rosenbrock,5,5347.943067363933,1.2027406692504883
5000,100,1,Styblinski,5,6.1082944853296794e-06,1.2193374633789062
5000,100,1,f8,5,10512.44271850586,1.4100255966186523
5000,100,1,f2,5,3.478311527693734e-10,1.0491001605987549
5000,100,1,f13,5,1.1504403021369087,1.462785243988037
5000,100,1,Sphere,10,2.5162119248668414e-15,1.0163230895996094
5000,100,1,Rosenbrock,10,0.0,1.0149874687194824
5000,100,1,Styblinski,10,5.273829458474211e-06,1.142228603363037
5000,100,1,f8,10,10711.483123779297,1.1005733013153076
5000,100,1,f2,10,8.115630611982283e-09,0.9595468044281006
5000,100,1,f13,10,1.1504403021369087,1.1980910301208496
5000,100,1,Sphere,100,1.2377551380715695e-18,0.9749517440795898
5000,100,1,Rosenbrock,100,0.0015077967968437633,1.0679981708526611
5000,100,1,Styblinski,100,8.01564311814218e-06,1.1104321479797363
5000,100,1,f8,100,10803.629699707031,1.2393279075622559
5000,100,1,f2,100,5.626314170115165e-08,0.9698762893676758
5000,100,1,f13,100,1.150416853115679,1.195798397064209
